host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
39,1,0,392.8892,1,0,0,4.2,3,3,Null,38,-33.2,14,390.2,-392.4,-19.6,44.8,-41.8,-5.8,Null,Null,Null
39,2,0,64.7932,2,0,0,8.2,3,3,Null,10351.2,10307.2,1058,Inf,Inf,Inf,67.6,-64.6,-5,Null,Null,Null
40,2,0,366.2828,2,0,0,7.6,3,3.2,3,1222.4,-1211.6,-66.2,363.6,-365.8,-18.8,470,-464,44.4,202.8,-205.6,2.2
40,2,0,5117.6013,2,0,0,7.8,3,3.2,3.4,4606.2,4601.2,368,5120,5100.6,416.8,274.4,-270,18.6,67.2,-70.6,-10.6
38,2,0,849.95,2,0,0,8.6,3,3.4,3.8,Inf,Inf,Inf,847.2,-848.8,-44.2,241.6,241.4,-49.6,Inf,Inf,Inf
38,2,0,12225.472,2,0,0,7.6,3,3.4,Null,185.2,-177.6,21.6,12228,12196.8,836.8,Inf,Inf,Inf,Null,Null,Null
38,2,0,738.4486,2,0,0,8.6,3,3.2,Null,Inf,Inf,Inf,740.8,735.6,64.8,66.2,-63,-5.4,Null,Null,Null
39,2,0,7001.7689,2,0,0,6.4,3,Null,3.2,89.4,95.2,-2,7004.4,6989.4,416,Null,Null,Null,91.4,-94.6,-6.8
38,2,0,686.5428,2,0,0,6.8,3,Null,2.8,172.6,-164.8,28,689,684.4,54.2,Null,Null,Null,Inf,Inf,Inf
39,2,0,46.8342,2,0,0,7,3,Null,2.6,171.2,-163.4,27.8,7721.6,7709,391,Null,Null,Null,43.4,-46,-8.8
39,2,0,5569.3791,2,0,0,7.2,3,3.2,2.6,192.4,-184.4,28.6,5572,5563.4,258,391,-384,42.8,Inf,Inf,Inf
37,2,0,469.3615,2,0,0,7.6,3,3.2,2.6,258.6,-250.4,28.8,471.8,468.2,33,1059.8,1044.4,-212.2,Inf,Inf,Inf
38,2,0,13571.1035,2,0,0,8,3,3.2,2.6,223.4,-215,26.6,13573.8,13563.4,457.2,Inf,Inf,Inf,Inf,Inf,Inf
37,2,0,651.0988,2,0,0,8.6,3,Null,2.6,Inf,Inf,Inf,653.8,650.2,34.2,Null,Null,Null,Inf,Inf,Inf
38,2,0,328.2624,2,0,0,8.8,3,4.2,2.6,Inf,Inf,Inf,Inf,Inf,Inf,322.4,321.6,-65.8,Inf,Inf,Inf
38,2,0,Inf,2,0,0,8.8,3,Null,2.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
36,2,0,634.7584,3,0,0,9,3,4.8,2.6,Inf,Inf,Inf,Inf,Inf,Inf,641,-626.8,100.2,Inf,Inf,Inf
36,2,0,2448.091,3,0,0,9,3,4.8,2.6,Inf,Inf,Inf,Inf,Inf,Inf,2441.4,2404.6,-459.4,Inf,Inf,Inf
36,2,0,34.0312,3,0,0,9,3,5,2.6,203,-193.6,25.6,Inf,Inf,Inf,38.8,-33.6,-5.4,Inf,Inf,Inf
37,2,0,168.6267,3,0,0,9,3,3,2.6,Inf,Inf,Inf,Inf,Inf,Inf,173,-168.6,3,Inf,Inf,Inf
37,3,0,37.6494,3,0,0,9.2,3,5.2,2.6,Inf,Inf,Inf,Inf,Inf,Inf,42.6,-37.2,-5.8,Inf,Inf,Inf
36,3,0,786.6511,3,0,0,9.2,3,5.2,2.6,Inf,Inf,Inf,783.4,-786,32,139,-131.4,16,Inf,Inf,Inf
37,3,0,120.3676,3,0,0,9.2,2.8,5.4,2.6,Inf,Inf,Inf,1207.6,1204.8,4.4,663.2,655.2,-144.4,117.4,-120,-9.4
36,3,0,702.8178,3,0,0,9.4,2.8,5.6,2.6,Inf,Inf,Inf,705.6,702.8,5,77.6,-71.2,0.2,Inf,Inf,Inf
36,3,0,669.4097,3,0,0,9.4,2.8,5.8,2.6,Inf,Inf,Inf,672.2,669.4,-3.6,178.2,178.8,-54.6,Inf,Inf,Inf
35,Null,0,419.3222,Null,0,0,Null,2.8,Null,2.6,Null,Null,Null,416.2,-418.6,24.6,Null,Null,Null,Inf,Inf,Inf
