"host_v.km.h.","host_.L","LC","host_rad.m.","LN","FRT","BRT","D_fr.m.","D_fl.m.","D_br.m.","D_bl.m.","Rad_fr.m.","CC_frx.m.","CC_fry.m.","Rad_fl.m.","CC_flx.m.","CC_fly.m.","Rad_br.m.","CC_brx.m.","CC_bry.m.","Rad_bl.m.","CC_blx.m.","CC_bly.m."
"43.0","1",0,"44.0204","Null","-1","0","2.8","Null","Null","Null","46.6","-43.8","4.4","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"41.0","1",0,"90.5539","Null","-1","0","2.8","Null","Null","Null","94.0","-90.0","-10.0","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"42.0","1",0,"11.3225","Null","-1","0","2.4","Null","Null","Null","11.6","-9.2","6.6","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"42.0","1",0,"26.0","Null","-1","0","2.8","Null","Null","2.0","33.4","-30.6","4.2","Null","Null","Null","Null","Null","Null","14.2","-15.6","-20.8"
"42.0","1",0,"25.032","Null","-1","0","2.8","Null","0.2","Null","53.6","-50.4","-1.8","Null","Null","Null","17.8","-17.6","-17.8","Null","Null","Null"
"43.0","1",0,"111.0879","Null","-1","0","2.8","Null","Null","Null","114.4","-110.6","-10.4","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"41.0","1",0,"24.5601","Null","-1","0","2.8","Null","0.6","Null","48.2","-45.2","0.6","Null","Null","Null","20.4","-19.6","-14.8","Null","Null","Null"
"41.0","Null",0,"Null","Null","-1","0","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"40.0","1",0,"23.28","Null","-1","0","2.8","Null","Null","0.2","47.4","-44.4","0.2","Null","Null","Null","Null","Null","Null","19.6","-18.6","-14.0"
"41.0","Null",0,"Null","Null","-1","0","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"41.0","1",0,"22.0771","Null","-1","0","2.8","Null","Null","0.8","24.0","-21.2","4.6","Null","Null","Null","Null","Null","Null","20.4","-18.4","-12.2"
"41.0","1",0,"23.5669","Null","-1","0","2.8","Null","Null","0.2","32.2","-29.4","2.8","Null","Null","Null","Null","Null","Null","22.0","-20.4","-11.8"
"40.0","1",0,"20.0998","Null","-1","0","2.8","Null","1.8","Null","74.6","-71.2","-5.2","Null","Null","Null","16.6","-14.8","-13.6","Null","Null","Null"
"41.0","Null",0,"21.2132","Null","-1","0","Null","Null","0.4","Null","Null","Null","Null","Null","Null","Null","21.0","-18.6","-10.2","Null","Null","Null"
"41.0","1",0,"22.2171","Null","-1","0","3.0","Null","Null","0.2","163.6","-157.6","-26.2","Null","Null","Null","Null","Null","Null","26.2","-21.6","-5.2"
"41.0","Null",0,"20.1911","Null","-1","0","Null","Null","Null","0.2","Null","Null","Null","Null","Null","Null","Null","Null","Null","19.0","-16.8","-11.2"
"41.0","1",0,"19.5161","Null","-1","0","2.4","Null","Null","0.4","18.4","-16.0","6.2","Null","Null","Null","Null","Null","Null","15.4","-13.8","-13.8"
"42.0","Null",0,"25.2769","Null","-1","0","Null","1.4","Null","Null","Null","Null","Null","6.2","-6.6","24.4","Null","Null","Null","Null","Null","Null"
"41.0","Null",0,"25.8279","Null","-1","0","Null","Null","0.2","Null","Null","Null","Null","Null","Null","Null","33.4","-25.8","1.2","Null","Null","Null"
"41.0","1",0,"56.6509","Null","-1","-1","Null","Null","4.0","Null","Null","Null","Null","Null","Null","Null","62.2","-56.6","2.4","Null","Null","Null"
"41.0","Null",0,"20.3666","Null","-1","-1","Null","Null","Null","0.2","Null","Null","Null","Null","Null","Null","Null","Null","Null","12.4","-11.8","-16.6"
"41.0","Null",0,"20.9609","Null","-1","-1","Null","Null","1.0","Null","Null","Null","Null","Null","Null","Null","15.0","-14.0","-15.6","Null","Null","Null"
"40.0","1",0,"351.3189","Null","-1","-1","3.0","Null","Null","Null","347.2","343.0","76.0","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"41.0","Null",0,"18.8043","Null","-1","-1","Null","Null","0.6","Null","Null","Null","Null","Null","Null","Null","19.4","-16.4","-9.2","Null","Null","Null"
"41.0","1",0,"81.2416","Null","-1","-1","Null","0.6","4.2","Null","Null","Null","Null","86.8","-79.4","-17.2","28.6","-24.4","-10.2","Null","Null","Null"
"40.0","1",0,"16.5469","Null","-1","-1","Null","Null","1.8","Null","Null","Null","Null","Null","Null","Null","17.8","-14.8","-7.4","Null","Null","Null"
"41.0","1",0,"49.449","Null","-1","-1","0.2","Null","1.8","Null","51.6","-49.4","2.2","Null","Null","Null","17.2","-13.4","-6.4","Null","Null","Null"
"41.0","1",0,"14.1209","Null","-1","-1","2.8","Null","1.8","Null","65.4","-62.0","-3.6","Null","Null","Null","14.2","-11.2","-8.6","Null","Null","Null"
"41.0","1",0,"55.8129","Null","-1","-1","2.8","Null","Null","Null","58.8","-55.8","-1.2","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"43.0","1",0,"15.729","Null","-1","-1","2.8","Null","2.0","Null","61.4","-58.2","-2.0","Null","Null","Null","12.4","-10.4","-11.8","Null","Null","Null"
"41.0","1",0,"53.4004","Null","-1","-1","2.8","Null","Null","Null","56.4","-53.4","-0.2","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"43.0","1",0,"17.6011","4","-1","-1","3.0","14.6","1.4","Null","64.8","-61.4","-2.4","14.8","-29.4","17.2","11.8","-10.4","-14.2","Null","Null","Null"
"43.0","1",0,"82.7613","Null","-1","-1","2.2","Null","Null","Null","86.6","-82.0","-11.2","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"42.0","1",0,"83.924","Null","-1","-1","2.4","Null","Null","Null","87.8","-83.2","-11.0","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"42.0","1",0,"19.0421","5","-1","-1","2.6","17.6","0.8","Null","72.2","-68.8","-4.2","3.4","-19.8","24.2","12.2","-11.2","-15.4","Null","Null","Null"
"43.0","1",0,"18.9621","Null","-1","-1","2.8","Null","0.6","Null","80.2","-76.6","-6.2","Null","Null","Null","12.4","-11.6","-15.0","Null","Null","Null"
"42.0","1",0,"18.4911","Null","-1","-1","2.8","Null","0.2","Null","78.4","-75.0","-4.4","Null","Null","Null","16.8","-14.4","-11.6","Null","Null","Null"
"42.0","1",0,"22.4891","Null","-1","-1","2.8","Null","2.6","Null","80.0","-76.8","-4.2","Null","Null","Null","30.2","-22.4","-2.0","Null","Null","Null"
"42.0","1",0,"88.7795","4","-1","-1","3.0","15.4","Null","Null","92.4","-88.4","-8.2","4.6","-18.8","21.4","Null","Null","Null","Null","Null","Null"
"42.0","1",0,"23.7966","1","-1","-1","2.8","1.8","Null","0.8","75.0","-72.0","-1.8","237.2","-220.4","-67.8","Null","Null","Null","12.6","-13.2","-19.8"
"41.0","1",0,"69.2142","3","-1","-1","2.8","10.8","Null","Null","72.2","-69.2","-1.4","126.4","-129.8","-29.6","Null","Null","Null","Null","Null","Null"
"42.0","1",0,"107.2129","3","-1","-1","3.0","10.6","Null","Null","110.6","-106.8","-9.4","54.0","-63.6","2.4","Null","Null","Null","Null","Null","Null"
"44.0","1",0,"90.0138","Null","-1","-1","3.0","0.2","Null","Null","93.4","-89.8","-6.2","‡","‡","‡","Null","Null","Null","Null","Null","Null"
"44.0","1",0,"64.8003","3","-1","-1","3.0","10.2","Null","Null","68.0","-64.8","-0.2","79.0","-87.4","-4.6","Null","Null","Null","Null","Null","Null"
"44.0","1",0,"25.8565","3","-1","-1","3.0","11.6","1.2","Null","68.0","-64.8","0.0","201.4","-201.0","-50.0","25.8","-23.4","-11.0","Null","Null","Null"
"43.0","1",0,"97.7605","4","-1","-1","3.0","13.6","Null","Null","101.0","-97.6","-5.6","‡","‡","‡","Null","Null","Null","Null","Null","Null"
"43.0","1",0,"27.7431","Null","-1","-1","3.0","Null","2.2","Null","98.8","-95.4","-4.6","Null","Null","Null","28.2","-25.8","-10.2","Null","Null","Null"
"43.0","1",0,"68.2012","Null","-1","-1","3.0","Null","Null","Null","71.4","-68.2","-0.4","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"43.0","1",0,"103.2655","Null","-1","-1","3.0","Null","Null","Null","106.6","-103.0","-7.4","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"42.0","1",0,"36.7793","Null","-1","-1","3.0","Null","Null","2.4","92.8","-89.4","-4.6","Null","Null","Null","Null","Null","Null","33.8","-33.4","-15.4"
"45.0","1",0,"112.0718","3","-1","-1","3.0","9.6","Null","6.8","115.4","-111.8","-7.8","148.6","-154.8","-19.8","Null","Null","Null","21.0","-25.6","-27.2"
"45.0","1",0,"140.5839","3","-1","-1","3.0","11.2","Null","Null","144.0","-140.0","-12.8","192.0","-197.2","-29.4","Null","Null","Null","Null","Null","Null"
"44.0","1",0,"187.9831","3","-1","-1","3.0","10.8","Null","Null","191.6","-187.0","-19.2","102.0","-109.6","-7.4","Null","Null","Null","Null","Null","Null"
"44.0","1",0,"69.4003","3","-1","-1","3.0","9.4","Null","Null","72.6","-69.4","-0.2","‡","‡","‡","Null","Null","Null","Null","Null","Null"
"44.0","1",0,"86.6453","3","-1","-1","3.0","11.0","Null","Null","89.8","-86.6","-2.8","102.8","-110.0","-8.0","Null","Null","Null","Null","Null","Null"
"45.0","1",0,"119.3938","3","-1","-1","3.0","9.4","Null","Null","122.8","-119.2","-6.8","497.8","475.6","124.8","Null","Null","Null","Null","Null","Null"
"45.0","1",0,"124.6443","3","-1","-1","2.8","9.4","Null","Null","127.8","-124.4","-7.8","94.2","-102.6","-1.8","Null","Null","Null","Null","Null","Null"
"45.0","2",0,"40.4712","4","-1","-1","8.4","9.4","Null","7.8","‡","‡","‡","95.2","-103.6","-2.8","Null","Null","Null","25.4","-29.6","-27.6"
"45.0","1",0,"200.8088","2","-1","-1","2.4","9.4","Null","Null","204.4","-199.6","-22.0","91.8","-100.4","-0.6","Null","Null","Null","Null","Null","Null"
"44.0","1",0,"76.1044","3","-1","-1","2.8","9.2","2.2","Null","102.6","-99.4","-4.0","59.2","-68.2","5.6","83.4","-75.8","6.8","Null","Null","Null"
"44.0","1",0,"30.0673","2","-1","-1","2.6","9.2","2.0","Null","210.8","-205.6","-24.2","151.0","-158.6","-11.0","26.8","-24.8","-17.0","Null","Null","Null"
"46.0","1",0,"198.6917","2","-1","-1","2.6","9.0","Null","7.4","202.4","-197.6","-20.8","79.0","-87.4","1.0","Null","Null","Null","‡","‡","‡"
