host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
67,4,0,23727.9085,5,0,0,15.8,7.4,Null,6.8,23743.2,-23719.2,642.8,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
67,4,0,Inf,5,0,0,15.8,7.4,Null,6.8,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
67,4,0,Inf,5,0,0,15.8,7.4,Null,6.8,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
67,4,0,Inf,5,0,0,15.8,7.4,Null,6.8,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
65,4,0,Inf,5,0,0,15.8,7.4,Null,6.8,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
66,4,0,Inf,5,0,0,15.8,7.4,Null,6.8,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
65,4,0,Inf,5,0,0,15.8,7.4,Null,6.8,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
66,4,0,568.5156,5,0,0,15.8,7.2,Null,6.8,582.8,-566.4,49,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
66,4,0,Inf,5,0,0,15.8,7.4,14.8,6.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,4,0,Inf,5,0,0,15.8,7.2,14.8,6.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
