"host_v.km.h.","host_.L","LC","host_rad.m.","LN","FRT","BRT","D_fr.m.","D_fl.m.","D_br.m.","D_bl.m.","Rad_fr.m.","CC_frx.m.","CC_fry.m.","Rad_fl.m.","CC_flx.m.","CC_fly.m.","Rad_br.m.","CC_brx.m.","CC_bry.m.","Rad_bl.m.","CC_blx.m.","CC_bly.m."
"43.0","Null",0,"106.9766","Null","-1","0","Null","1.4","Null","Null","Null","Null","Null","113.2","-102.8","-29.6","Null","Null","Null","Null","Null","Null"
"43.0","1",0,"69.137","Null","-1","0","Null","0.8","1.4","Null","Null","Null","Null","73.2","-68.6","-8.6","12.6","-10.8","-12.0","Null","Null","Null"
"43.0","1",0,"71.8988","Null","-1","0","Null","0.2","1.6","Null","Null","Null","Null","76.2","-71.2","-10.0","18.6","-15.4","-6.6","Null","Null","Null"
"42.0","1",0,"81.3373","Null","-1","0","2.8","Null","Null","Null","84.6","-81.0","-7.4","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"42.0","1",0,"15.1182","Null","-1","0","2.8","Null","1.6","Null","55.6","-52.6","-0.4","Null","Null","Null","16.8","-13.4","-7.0","Null","Null","Null"
"42.0","1",0,"62.0464","Null","-1","0","2.8","Null","Null","Null","65.2","-62.0","-2.4","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"45.0","1",0,"16.1208","Null","-1","0","2.8","Null","1.8","Null","67.4","-64.2","-3.0","Null","Null","Null","15.0","-12.8","-9.8","Null","Null","Null"
"43.0","1",0,"16.4657","4","-1","0","2.8","14.4","1.6","Null","69.4","-66.0","-3.4","22.6","7.0","25.0","14.8","-12.6","-10.6","Null","Null","Null"
"44.0","1",0,"17.4734","Null","-1","0","2.0","Null","1.2","Null","69.4","-66.0","-3.4","Null","Null","Null","10.8","-9.6","-14.6","Null","Null","Null"
"44.0","1",0,"109.7488","Null","-1","0","3.0","Null","Null","Null","113.4","-108.8","-14.4","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"44.0","1",0,"18.4261","Null","-1","0","2.6","Null","0.8","Null","70.2","-67.0","-2.0","Null","Null","Null","9.2","-8.4","-16.4","Null","Null","Null"
"43.0","1",0,"18.8043","Null","-1","0","2.8","Null","0.6","Null","70.4","-67.4","-1.4","Null","Null","Null","9.8","-9.2","-16.4","Null","Null","Null"
"45.0","1",0,"18.5224","Null","-1","0","2.8","Null","0.6","Null","74.6","-71.2","-3.2","Null","Null","Null","8.4","-7.8","-16.8","Null","Null","Null"
"45.0","1",0,"18.5828","Null","-1","0","2.8","Null","0.6","Null","74.8","-71.8","-1.6","Null","Null","Null","11.4","-10.4","-15.4","Null","Null","Null"
"45.0","1",0,"19.0767","Null","-1","0","2.8","Null","0.4","Null","48.2","-45.4","4.6","Null","Null","Null","10.0","-9.4","-16.6","Null","Null","Null"
"44.0","1",0,"92.2364","4","-1","0","3.0","14.4","Null","Null","95.6","-92.0","-6.6","60.6","43.6","37.8","Null","Null","Null","Null","Null","Null"
"44.0","1",0,"92.9985","4","-1","0","3.0","14.8","Null","Null","96.6","-92.6","-8.6","24.2","-39.0","19.0","Null","Null","Null","Null","Null","Null"
"46.0","1",0,"67.2003","Null","-1","0","3.0","Null","Null","Null","70.2","-67.2","0.2","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"46.0","1",0,"23.4828","3","-1","0","3.0","10.2","Null","0.2","97.0","-93.6","-4.6","78.2","-86.8","-2.6","Null","Null","Null","17.4","-17.0","-16.2"
"45.0","1",0,"53.6451","3","-1","0","3.0","10.2","Null","Null","56.6","-53.6","2.2","55.4","-64.8","3.0","Null","Null","Null","Null","Null","Null"
"45.0","1",0,"45.8118","3","-1","0","3.0","9.8","Null","Null","48.6","-45.6","4.4","103.0","-110.2","-10.6","Null","Null","Null","Null","Null","Null"
"45.0","1",0,"23.2034","3","-1","0","3.2","9.6","1.2","Null","82.2","-78.8","-1.6","80.0","-88.2","-2.8","20.2","-18.8","-13.6","Null","Null","Null"
"47.0","1",0,"69.6026","3","-1","0","3.2","9.6","Null","Null","73.0","-69.6","-0.6","89.6","-97.8","-4.6","Null","Null","Null","Null","Null","Null"
"47.0","1",0,"25.5891","Null","-1","0","3.2","Null","2.2","Null","118.0","-114.2","-7.4","Null","Null","Null","26.2","-23.8","-9.4","Null","Null","Null"
"47.0","1",0,"27.8568","Null","-1","-1","3.2","Null","2.0","Null","66.6","-63.4","1.4","Null","Null","Null","28.2","-26.0","-10.0","Null","Null","Null"
"47.0","1",0,"36.0072","Null","-1","-1","3.2","Null","Null","Null","38.8","-35.6","5.4","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"48.0","1",0,"32.025","Null","-1","-1","3.2","Null","Null","0.2","58.8","-55.6","5.0","Null","Null","Null","Null","Null","Null","29.4","-28.4","-14.8"
"48.0","1",0,"87.2186","3","-1","-1","3.2","10.4","Null","Null","90.6","-87.2","-1.8","1202.2","1141.6","362.4","Null","Null","Null","Null","Null","Null"
"48.0","1",0,"133.6371","3","-1","-1","3.4","9.0","Null","Null","137.6","-133.2","-10.8","91.0","-98.8","-3.2","Null","Null","Null","Null","Null","Null"
"49.0","1",0,"118.6437","3","-1","-1","3.4","9.0","Null","Null","122.4","-118.4","-7.6","47.8","-56.6","6.8","Null","Null","Null","Null","Null","Null"
"47.0","1",0,"114.5902","3","-1","-1","3.4","10.2","Null","Null","118.4","-114.4","-6.6","87.2","-95.8","0.2","Null","Null","Null","Null","Null","Null"
"49.0","1",0,"86.2232","3","-1","-1","3.4","8.8","Null","Null","89.8","-86.2","-2.0","108.0","-115.6","-5.2","Null","Null","Null","Null","Null","Null"
"50.0","1",0,"110.5043","3","-1","-1","3.4","8.8","Null","Null","114.2","-110.4","-4.8","‡","‡","‡","Null","Null","Null","Null","Null","Null"
"49.0","1",0,"112.8782","3","-1","-1","3.2","8.8","Null","Null","116.4","-112.8","-4.2","192.8","-199.0","-21.0","Null","Null","Null","Null","Null","Null"
"49.0","1",0,"90.602","3","-1","-1","3.2","8.8","Null","Null","94.0","-90.6","-0.6","91.4","-99.6","-0.4","Null","Null","Null","Null","Null","Null"
"50.0","1",0,"98.0294","2","-1","-1","3.2","8.6","Null","Null","101.4","-98.0","-2.4","55.0","45.0","24.2","Null","Null","Null","Null","Null","Null"
"50.0","1",0,"128.8014","3","-1","-1","3.2","8.8","Null","4.2","132.4","-128.6","-7.2","70.0","-78.6","5.0","Null","Null","Null","35.4","-36.4","-20.4"
"50.0","1",0,"134.6622","2","-1","-1","3.0","8.6","Null","Null","138.4","-134.4","-8.4","298.0","-299.0","-56.2","Null","Null","Null","Null","Null","Null"
"49.0","1",0,"59.8966","2","-1","-1","3.0","8.6","Null","Null","62.8","-59.8","3.4","171.8","-176.8","-24.4","Null","Null","Null","Null","Null","Null"
"50.0","1",0,"256.164","2","-1","-1","3.2","8.6","Null","Null","260.0","-254.8","-26.4","41.4","-50.0","8.0","Null","Null","Null","Null","Null","Null"
"52.0","1",0,"116.3075","Null","-1","-1","3.2","Null","Null","Null","120.0","-116.2","-5.0","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"51.0","1",0,"101.4197","Null","-1","-1","3.0","Null","Null","Null","104.8","-101.4","-2.0","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"51.0","1",0,"377.0649","Null","-1","-1","2.8","Null","Null","Null","381.2","-373.6","-51.0","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"52.0","2",0,"54.8343","4","-1","-1","7.6","8.4","2.6","3.0","‡","‡","‡","162.6","-167.4","-23.6","56.8","-53.8","-10.6","47.2","-45.8","-16.4"
