"host_v.km.h.","host_.L","LC","host_rad.m.","LN","FRT","BRT","D_fr.m.","D_fl.m.","D_br.m.","D_bl.m.","Rad_fr.m.","CC_frx.m.","CC_fry.m.","Rad_fl.m.","CC_flx.m.","CC_fly.m.","Rad_br.m.","CC_brx.m.","CC_bry.m.","Rad_bl.m.","CC_blx.m.","CC_bly.m."
"41.0","1",0,"20.8777","Null","-1","0","2.2","Null","1.8","Null","80.4","-71.0","-13.0","Null","Null","Null","25.4","-19.2","-8.2","Null","Null","Null"
"40.0","2",0,"20.5105","Null","-1","0","6.0","Null","1.8","Null","96.4","-88.2","-12.4","Null","Null","Null","25.2","-18.8","-8.2","Null","Null","Null"
"41.0","2",0,"22.9172","Null","-1","0","6.2","Null","1.6","Null","57.2","-49.8","-3.0","Null","Null","Null","30.4","-22.6","-3.8","Null","Null","Null"
"41.0","2",0,"71.5891","Null","-1","0","6.2","Null","Null","Null","79.2","-70.8","-10.6","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"41.0","2",0,"35.5584","Null","-1","-1","6.2","Null","2.0","Null","38.2","-31.6","3.2","Null","Null","Null","48.0","-33.4","12.2","Null","Null","Null"
"40.0","2",0,"31.5785","Null","-1","-1","6.2","Null","2.2","Null","56.4","-49.2","-2.4","Null","Null","Null","43.2","-30.6","7.8","Null","Null","Null"
"40.0","Null",0,"Null","Null","-1","-1","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null"
"39.0","1",0,"30.4473","Null","-1","-1","Null","Null","2.6","Null","Null","Null","Null","Null","Null","Null","41.2","-30.0","5.2","Null","Null","Null"
"40.0","2",0,"26.0123","Null","-1","-1","5.8","Null","2.6","Null","35.6","-29.8","5.2","Null","Null","Null","34.6","-26.0","0.8","Null","Null","Null"
"41.0","2",0,"33.6155","Null","-1","-1","6.2","Null","2.8","Null","41.4","-34.8","2.8","Null","Null","Null","44.2","-32.6","8.2","Null","Null","Null"
"42.0","1",0,"47.2288","Null","-1","-1","2.8","Null","3.2","Null","‡","‡","‡","Null","Null","Null","60.6","-42.0","21.6","Null","Null","Null"
"42.0","2",0,"33.9888","Null","-1","-1","6.4","Null","3.6","Null","192.2","-180.4","-36.6","Null","Null","Null","46.6","-31.8","12.0","Null","Null","Null"
"42.0","2",0,"98.4654","Null","-1","-1","6.4","Null","3.6","Null","88.0","-79.8","-9.6","Null","Null","Null","113.2","-75.0","63.8","Null","Null","Null"
"41.0","2",0,"36.8505","Null","-1","-1","6.4","Null","3.8","Null","180.2","-168.8","-33.6","Null","Null","Null","49.8","-33.0","16.4","Null","Null","Null"
"41.0","2",0,"111.3849","Null","-1","-1","6.0","Null","3.8","Null","19.6","-13.6","8.8","Null","Null","Null","125.8","-81.8","75.6","Null","Null","Null"
"41.0","1",0,"52.8379","Null","-1","-1","1.8","Null","3.8","Null","60.0","-52.8","-2.0","Null","Null","Null","63.6","-42.0","27.8","Null","Null","Null"
"42.0","Null",0,"Null","Null","-1","-1","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null"
