時刻 [sec], ブレーキ踏力 [N], アクセル踏力 [N], 車速 [km/h], 操舵角 [deg], 加速度 (X) [G], 加速度 (Y) [G], 加速度 (Z) [G],
0.000000, -0.069209, 0.493586, 3.040554, 1.481350, 0.001140, 0.000582, 0.052479,
0.100000, -0.739561, 11.153026, 60.728190, 27.163588, 0.050720, 0.036298, 1.064693,
0.200000, -0.847616, 12.044537, 60.350765, 29.100342, 0.051300, 0.038196, 1.061874,
0.300000, -0.887650, 12.953263, 62.645460, 29.926992, 0.048429, 0.038629, 1.062039,
0.400000, -0.868340, 13.116910, 62.748358, 29.341882, 0.052629, 0.035208, 1.065480,
0.500000, -0.776814, 12.006085, 62.707930, 29.084264, 0.051047, 0.036779, 1.049729,
0.600000, -0.802362, 10.284613, 62.169263, 28.658402, 0.044866, 0.031538, 1.051058,
0.700000, -0.838224, 9.342926, 62.151981, 27.715669, 0.050357, 0.032540, 1.051841,
0.800000, -0.841951, 8.801792, 62.124926, 26.911280, 0.047981, 0.040226, 1.064218,
0.900000, -0.832746, 8.436207, 62.127051, 26.971419, 0.044502, 0.034825, 1.056896,
1.000000, -0.773840, 9.241444, 62.106322, 26.998191, 0.046969, 0.040222, 1.069465,
1.100000, -0.802378, 10.020783, 62.102051, 26.964341, 0.042173, 0.043059, 1.053753,
1.200000, -0.841157, 11.613836, 62.150755, 27.392033, 0.036073, 0.050153, 1.037578,
1.300000, -0.843175, 13.887797, 61.580099, 27.432114, 0.046793, 0.047289, 1.033402,
1.400000, -0.825684, 13.797777, 62.071494, 27.134802, 0.040442, 0.044545, 1.063721,
1.500000, -0.873031, 12.966591, 61.595710, 27.500256, 0.038066, 0.037320, 1.052694,
1.600000, -0.865108, 12.382161, 61.547179, 27.141510, 0.037825, 0.037896, 1.073952,
1.700000, -0.794842, 12.147962, 61.524963, 26.544078, 0.038940, 0.040717, 1.063946,
1.800000, -0.892467, 9.684703, 63.219350, 26.952069, 0.038806, 0.038020, 1.056307,
1.900000, -0.828736, 8.227848, 63.315604, 26.517906, 0.038281, 0.041842, 1.055338,
