host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
34,3,0,738.8565,3,0,0,9.2,2.8,5.2,2.6,50.4,-40.8,18.2,Inf,Inf,Inf,731.6,725.2,-141.4,Inf,Inf,Inf
32,3,0,753.3414,3,0,0,9.2,2.8,5.4,2.6,220.8,-211.4,21.2,Inf,Inf,Inf,745.8,736.8,-157,Inf,Inf,Inf
33,3,0,994.1129,3,0,0,9.2,2.8,5.6,2.6,193.6,-184.2,20.6,Inf,Inf,Inf,1001.4,-979.4,170.4,Inf,Inf,Inf
33,2,0,815.4641,2,0,0,Null,2.8,5.6,2.6,Null,Null,Null,Inf,Inf,Inf,807.4,795.8,-178,Inf,Inf,Inf
31,1,0,891.9715,1,0,0,2,2.8,5.8,2.6,Inf,Inf,Inf,Inf,Inf,Inf,883.6,868,-205.4,Inf,Inf,Inf
31,2,0,47.4995,2,0,0,Null,2.8,5.8,2.6,Null,Null,Null,Inf,Inf,Inf,52.4,-46.6,-9.2,Inf,Inf,Inf
30,2,0,10593.0801,2,0,0,Null,2.8,6,2.6,Null,Null,Null,10590,-10590.2,247,64,-57.8,-6.2,Inf,Inf,Inf
31,2,0,514.8206,2,0,0,7.6,2.8,6.2,2.6,Inf,Inf,Inf,517.6,514.8,4.6,138.6,-131.2,6.8,Inf,Inf,Inf
29,2,0,381.6663,2,0,0,7.4,2.8,6.2,2.6,Inf,Inf,Inf,Inf,Inf,Inf,372.6,371,-89.6,Inf,Inf,Inf
28,1,0,419.3222,1,0,0,2,2.8,6.4,2.6,Inf,Inf,Inf,416.2,-418.6,24.6,73.8,-66.8,-2,Inf,Inf,Inf
28,2,0,25401.1838,2,0,0,7.6,2.6,6.6,2.6,Inf,Inf,Inf,25398.4,-25397.8,414.6,87,-79.4,1.6,Inf,Inf,Inf
