host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
57,2,0,256.1188,2,1,1,7.4,3,7.2,11.2,249.2,256,-7.8,Inf,Inf,Inf,Inf,Inf,Inf,1148.6,1134.8,63
57,2,0,178.8018,2,1,1,7.4,2.8,7.2,11.4,171.6,178.8,-0.8,Inf,Inf,Inf,Inf,Inf,Inf,4919.6,-4911,-460.8
57,2,0,241.1534,2,1,1,7.4,2.8,7.2,11.4,234.2,241,-8.6,Inf,Inf,Inf,Inf,Inf,Inf,2050.8,-2053.4,-207.4
58,2,0,241.3462,2,1,1,7.6,2.8,7.2,11.4,234.2,241.2,-8.4,Inf,Inf,Inf,Inf,Inf,Inf,2809,-2807.6,-285.2
58,2,0,132.7019,2,1,1,7.6,2.8,7.2,10.8,181.2,188.4,-4.2,135.4,132.6,5.2,Inf,Inf,Inf,1069.2,-1074.2,-135.8
56,2,0,255.6401,2,1,1,7.6,2.8,7,9.8,171,178.2,-3.4,Inf,Inf,Inf,260.4,-252.8,-38,579.8,568,16.2
56,2,0,1683.698,2,1,1,7.6,2.8,7,Null,162.6,169.6,-5.2,Inf,Inf,Inf,1689.6,-1679.6,-117.4,Null,Null,Null
56,2,0,87.6037,2,1,1,7.8,2.8,7,Null,125.2,132.8,1.6,90,87.2,8.4,1449,-1439,-111,Null,Null,Null
57,2,0,2621.7471,2,1,1,7.8,2.8,7,Null,148,155.2,-3.6,Inf,Inf,Inf,2627.6,-2614,-201.4,Null,Null,Null
55,2,0,5427.0186,2,1,1,7.8,2.8,7,Null,179.2,186.2,-8.2,Inf,Inf,Inf,5433,-5413.6,-381.4,Null,Null,Null
55,2,0,112.7294,2,1,1,8,2.8,7,2.6,105.8,113.6,2.6,Inf,Inf,Inf,490.8,497.2,12.2,115.2,112.6,-5.4
55,2,0,2613.3314,2,1,1,8,2.8,7,2.6,139.2,146.6,-3.2,110.6,107.8,5.2,5802.6,-5782.8,-398,2610.4,-2609,-150.4
56,2,0,1275.9661,2,1,1,8,3,7.2,2.6,116.2,123.8,-0.6,178.4,175.4,0.8,364.4,371.4,0.2,1273,-1274.4,-63.2
55,2,0,877.2115,2,1,1,8.2,2.8,7.2,2.6,116.8,124.6,0.2,64.6,61.8,8.2,487.2,494,12,874.2,-874.8,-65
56,2,0,264.6366,2,1,1,8.2,3,7.2,2.6,122.4,130,-2.6,260,256.8,-7.4,565.2,571.6,19.6,267.2,264.6,4.4
53,2,0,147.0067,2,1,1,8.2,3,7.2,Null,182.2,188.8,-14.4,150,147,1.4,439.6,446.4,8.4,Null,Null,Null
54,2,0,67.9744,2,1,1,8.2,3,7.2,2,146.4,153.4,-9.2,114,111,5.4,387.8,394.4,12.2,68.6,66.6,-13.6
54,2,0,1548.3991,2,1,1,8.4,3,7.4,2.6,126.6,134,-5.2,96.4,93.4,5.4,221.2,228.6,-4.6,1545.4,-1544.6,-108.4
54,2,0,200.2361,2,1,1,8.4,3,7.4,2.6,121.6,129,-4.8,121.2,118.2,2.6,241,248.2,-0.2,203,200.2,3.8
