時刻 [sec], ブレーキ踏力 [N], アクセル踏力 [N], 車速 [km/h], 操舵角 [deg], 加速度 (X) [G], 加速度 (Y) [G], 加速度 (Z) [G],
0.000000, 1.182821, 0.049370, 2.112018, -0.441121, -0.004728, 0.006499, 0.055344,
0.100000, 23.252368, 0.968426, 42.417012, -9.129623, -0.103546, 0.147914, 1.097553,
0.200000, 22.067523, 1.029593, 41.730588, -9.446666, -0.127950, 0.143060, 1.109046,
0.300000, 22.747587, 1.010419, 40.319172, -9.526650, -0.130739, 0.125978, 1.177195,
0.400000, 20.261723, 1.009192, 40.900656, -9.279537, -0.130915, 0.119660, 1.099511,
0.500000, 20.636500, 1.020499, 40.918503, -9.188450, -0.130643, 0.118825, 1.076250,
0.600000, 19.923700, 0.979519, 39.725534, -9.041784, -0.140316, 0.109025, 1.075655,
0.700000, 21.459585, 1.032578, 39.094239, -8.235514, -0.133642, 0.129454, 1.070586,
0.800000, 21.267626, 1.075104, 38.925338, -7.075898, -0.125635, 0.103489, 1.073335,
0.900000, 22.990937, 1.081202, 37.888829, -6.253007, -0.124301, 0.101135, 1.070428,
1.000000, 20.457787, 0.988572, 37.726171, -3.843518, -0.144552, 0.128895, 1.062820,
1.100000, 21.215878, 1.094512, 36.641190, -1.790700, -0.141874, 0.083510, 1.099075,
1.200000, 20.279787, 1.062700, 36.652910, -1.460175, -0.138951, 0.071988, 1.057424,
1.300000, 18.509442, 1.027087, 36.055626, -0.329815, -0.142093, 0.084817, 1.060913,
1.400000, 19.037081, 1.028931, 35.893286, 1.535795, -0.133922, 0.061288, 1.107287,
1.500000, 17.951426, 1.006385, 34.941511, 3.347822, -0.119105, 0.075991, 1.078987,
1.600000, 17.134125, 0.982719, 34.751061, 4.012247, -0.118918, 0.048741, 1.071006,
1.700000, 16.928671, 1.000081, 33.492061, 4.301139, -0.106682, 0.068486, 1.063742,
1.800000, 17.950256, 1.005316, 33.144459, 6.617114, -0.110066, 0.082487, 1.052570,
1.900000, 20.322173, 0.969789, 32.539416, 9.091688, -0.103499, 0.067949, 1.067649,
2.000000, 20.866505, 1.058022, 32.306615, 10.236680, -0.098093, 0.057615, 1.065778,
2.100000, 21.349400, 1.038326, 31.288486, 11.200521, -0.106492, 0.054280, 1.077854,
2.200000, 21.602290, 1.095901, 31.683632, 11.869415, -0.109197, 0.061090, 1.091705,
2.300000, 20.473040, 1.045141, 31.115774, 13.584536, -0.110084, 0.046855, 1.091916,
2.400000, 18.180466, 1.078731, 30.085462, 15.788903, -0.120842, 0.053987, 1.077754,
2.500000, 17.660644, 1.052029, 30.678240, 17.127150, -0.109262, 0.051556, 1.082674,
2.600000, 17.712409, 1.060648, 30.515157, 16.969589, -0.112500, 0.030792, 1.072602,
2.700000, 18.301463, 1.054147, 29.471428, 16.826906, -0.103804, 0.034186, 1.090817,
2.800000, 17.940040, 1.068538, 29.885054, 17.004876, -0.099399, 0.046857, 1.089890,
2.900000, 18.097362, 1.023497, 29.313518, 15.925516, -0.099790, 0.044059, 1.089508,
3.000000, 19.162004, 1.066951, 28.283894, 15.819280, -0.096515, 0.020660, 1.040954,
3.100000, 20.705643, 1.053731, 28.880162, 14.634736, -0.103445, 0.045769, 1.073478,
