host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
42,1,0,70.7904,Null,0,0,2.8,Null,Null,Null,72.8,-69.8,11.8,Null,Null,Null,Null,Null,Null,Null,Null,Null
42,1,0,Inf,Null,0,0,2.8,Null,3,Null,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Null,Null,Null
39,1,0,45.6946,Null,0,0,2.8,Null,3.2,Null,47.4,-44.4,10.8,Null,Null,Null,Inf,Inf,Inf,Null,Null,Null
40,1,0,56.3251,1,0,0,3,3.8,2.8,Null,Inf,Inf,Inf,50.6,-54.4,14.6,Inf,Inf,Inf,Null,Null,Null
41,1,0,Inf,Null,0,0,3,Null,2.8,Null,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Null,Null,Null
39,1,0,20.4167,1,-1,0,3,Null,2.8,3.4,21.2,-17.8,10,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
39,1,0,4397.5571,Null,-1,0,Null,Null,2.8,Null,Null,Null,Null,Null,Null,Null,4394.4,4394.2,-171.8,Null,Null,Null
39,1,0,75.229,Null,-1,0,Null,4,2.4,Null,Null,Null,Null,44.8,-48.8,15,76.8,-74.2,-12.4,Null,Null,Null
37,1,0,423.0106,2,-1,0,5,4.2,2.8,3.4,331.8,331.6,97.6,120.2,-123.6,4.6,425.8,-423,3,Inf,Inf,Inf
38,2,0,206.8705,2,-1,0,5.6,4,2.8,3.4,47.8,52,47.6,168.6,-171.4,-3.2,209.6,-206.8,-5.4,Inf,Inf,Inf
36,1,0,504.1478,1,-1,0,6,Null,2.8,3.6,513.2,-503,-34,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
37,1,0,146.8012,2,-1,0,4.8,3.2,2.8,Null,Inf,Inf,Inf,143.6,-146.8,0.6,Inf,Inf,Inf,Null,Null,Null
35,1,0,203.7494,1,-1,0,3.2,3,3,Null,22.2,-18,13.2,201,-203.6,-7.8,156.8,159,-23.6,Null,Null,Null
36,1,0,168.6232,1,-1,0,4,3,3,Null,125.6,-120.8,21.2,165.8,-168.6,-2.8,130,132.2,-21,Null,Null,Null
34,1,0,341.2033,1,-1,0,4.2,3,3,Null,Inf,Inf,Inf,338.6,-340.4,-23.4,77,79.2,-18,Null,Null,Null
