host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
33,3,0,1317.2073,3,0,0,9.2,2.8,3,2.6,Inf,Inf,Inf,1320,1317.2,4.4,175.6,174.2,-62.2,Inf,Inf,Inf
33,3,0,125.9227,3,0,0,9.2,2.8,5.4,2.6,Inf,Inf,Inf,Inf,Inf,Inf,117.8,119.6,-39.4,Inf,Inf,Inf
34,3,0,770.8137,3,0,0,9.4,2.8,5.6,2.6,Inf,Inf,Inf,773.6,770.8,4.6,133,-125.4,13,Inf,Inf,Inf
32,3,0,814.3103,3,0,0,9.4,2.8,5.8,2.6,Inf,Inf,Inf,Inf,Inf,Inf,806,791.4,-191.8,Inf,Inf,Inf
32,3,0,7642.6705,3,0,0,9.4,2.8,5.8,2.6,Inf,Inf,Inf,7639.6,-7638.8,243.2,275.8,-265.6,38.8,Inf,Inf,Inf
32,2,0,13539.1706,2,0,0,7.6,2.8,6,2.6,Inf,Inf,Inf,13536.2,-13532.2,434.4,85.6,-79,0.6,Inf,Inf,Inf
32,1,0,372.336,1,0,0,2.2,2.8,6.2,2.6,Inf,Inf,Inf,369.2,-371.6,23.4,167.2,169.4,-47.8,Inf,Inf,Inf
32,2,0,18168.1523,2,0,0,Null,2.8,6.4,2.6,Null,Null,Null,18165.2,-18160.6,523.8,560.2,553.8,-130.8,Inf,Inf,Inf
32,2,0,322.5648,2,0,0,Null,2.8,6.4,2.6,Null,Null,Null,319.4,-321.8,22.2,214.6,-205,25.6,Inf,Inf,Inf
33,2,0,416.2731,2,0,0,Null,2.6,6.6,2.6,Null,Null,Null,418.8,416.2,7.8,159.6,-151.2,13.4,Inf,Inf,Inf
31,1,0,137.165,1,0,0,2,2.6,6.8,2.6,Inf,Inf,Inf,Inf,Inf,Inf,145.2,-136.8,10,Inf,Inf,Inf
31,1,0,899.2002,1,0,0,2,2.6,7,2.6,Inf,Inf,Inf,901.8,899.2,-0.6,1429.4,1408.8,-292.2,Inf,Inf,Inf
31,1,0,148.0093,1,0,0,2,2.6,7.2,2.6,Inf,Inf,Inf,150.2,147.6,11,226.8,228.8,-60.6,Inf,Inf,Inf
29,1,0,575.0217,1,0,0,2,2.6,7.2,2.4,Inf,Inf,Inf,577.6,575,5,521.2,-508.6,63.2,Inf,Inf,Inf
