"host_v.km.h.","host_.L","LC","host_rad.m.","LN","FRT","BRT","D_fr.m.","D_fl.m.","D_br.m.","D_bl.m.","Rad_fr.m.","CC_frx.m.","CC_fry.m.","Rad_fl.m.","CC_flx.m.","CC_fly.m.","Rad_br.m.","CC_brx.m.","CC_bry.m.","Rad_bl.m.","CC_blx.m.","CC_bly.m."
"49.0","3",0,"668.9059","6","0","0","11.6","12.6","Null","Null","682.0","-664.8","-74.0","648.0","615.8","-142.8","Null","Null","Null","Null","Null","Null"
"49.0","3",0,"841.9187","5","0","0","11.4","12.4","Null","Null","855.2","-834.0","-115.2","507.8","482.0","-101.2","Null","Null","Null","Null","Null","Null"
"48.0","3",0,"32.4968","5","0","0","11.2","12.4","Null","6.8","703.2","-684.0","-92.2","620.0","590.8","-129.0","Null","Null","Null","16.0","-21.0","-24.8"
"49.0","3",0,"30.6894","5","0","0","11.0","12.2","Null","6.6","719.0","-698.2","-105.2","229.6","212.4","-33.0","Null","Null","Null","12.8","-17.8","-25.0"
"50.0","3",0,"37.7974","5","0","0","10.6","12.0","Null","6.8","766.0","-745.8","-108.2","542.6","517.0","-107.0","Null","Null","Null","19.6","-24.0","-29.2"
"51.0","3",0,"974.6893","5","0","0","10.4","11.8","Null","Null","987.0","-961.6","-159.2","737.2","707.4","-148.0","Null","Null","Null","Null","Null","Null"
"51.0","3",0,"462.2797","5","0","0","10.2","11.6","Null","Null","474.2","-457.8","-64.2","1598.2","1547.6","-337.4","Null","Null","Null","Null","Null","Null"
"50.0","3",0,"546.8298","5","0","0","10.0","11.4","Null","Null","558.8","-539.8","-87.4","403.8","384.4","-66.6","Null","Null","Null","Null","Null","Null"
"52.0","3",0,"211.8092","5","0","0","9.8","11.2","Null","Null","223.0","-210.6","-22.6","2477.8","2402.4","-547.0","Null","Null","Null","Null","Null","Null"
"51.0","3",0,"1405.3211","5","0","0","9.6","11.0","Null","Null","1416.8","-1383.8","-245.0","124.4","-129.0","53.4","Null","Null","Null","Null","Null","Null"
