時刻 [sec], ブレーキ踏力 [N], アクセル踏力 [N], 車速 [km/h], 操舵角 [deg], 加速度 (X) [G], 加速度 (Y) [G], 加速度 (Z) [G],
0.000000, 0.642930, 0.039078, 2.265877, 0.107371, -0.000885, 0.009443, 0.054322,
0.100000, 13.290178, 1.002195, 45.259199, 0.995272, -0.015505, 0.152940, 1.064558,
0.200000, 14.390555, 1.042860, 44.973298, 0.268193, -0.020857, 0.150242, 1.097290,
0.300000, 14.565869, 1.040488, 44.964709, 0.101609, -0.012375, 0.142577, 1.091829,
0.400000, 13.820580, 0.984751, 45.022646, 1.439164, -0.018829, 0.159292, 1.088749,
0.500000, 14.137584, 1.011769, 45.593904, 2.099734, -0.027907, 0.139299, 1.100936,
0.600000, 13.244001, 1.018562, 45.601285, 2.699659, -0.032035, 0.159579, 1.096960,
0.700000, 12.178017, 1.031781, 43.240189, 2.597215, -0.036301, 0.151526, 1.117596,
0.800000, 9.956234, 1.013160, 43.194863, 2.483491, -0.034652, 0.130517, 1.062618,
0.900000, 8.969498, 1.013449, 43.794384, 2.390875, -0.024352, 0.125640, 1.095842,
1.000000, 9.616488, 0.992507, 43.781460, 0.256602, -0.020318, 0.128094, 1.061110,
1.100000, 9.382351, 1.017210, 43.795799, -3.042490, -0.023417, 0.138165, 1.083682,
1.200000, 10.941915, 1.015816, 44.389254, -5.821324, -0.016609, 0.156284, 1.075939,
1.300000, 12.606656, 1.005447, 44.403613, -6.912826, -0.016253, 0.162945, 1.078584,
1.400000, 13.144775, 1.038126, 42.635500, -5.572140, -0.016821, 0.167683, 1.105051,
1.500000, 12.629983, 1.053418, 42.586142, -4.997500, -0.013622, 0.154942, 1.119995,
1.600000, 12.452681, 0.991557, 42.640347, -3.240959, -0.021922, 0.160283, 1.098982,
1.700000, 12.805706, 1.002600, 42.611772, -2.314902, -0.019897, 0.167599, 1.100298,
1.800000, 13.317776, 0.977516, 43.182371, -2.507973, -0.020296, 0.168884, 1.056652,
1.900000, 14.061382, 0.968943, 43.207632, -2.257752, -0.018621, 0.127414, 1.031800,
