host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
63,1,0,237.8084,2,-1,-1,2.8,7.6,2.6,6.2,109,-106.2,6.6,103.8,-111.2,2.2,240.4,-237.8,-2,Inf,Inf,Inf
62,1,0,219.8205,2,-1,-1,2.8,7.6,2.6,6.2,103.6,-100.8,6.6,161,-167.6,-7.8,222.4,-219.8,-3,Inf,Inf,Inf
63,1,0,103.7304,2,-1,-1,2.8,7.8,2.8,6.2,106.4,-103.6,5.2,110,-117.4,-0.2,495.8,-492.6,16,Inf,Inf,Inf
63,1,0,96.3747,2,-1,-1,2.8,7.8,2.8,6.2,99,-96.2,5.8,168.2,-174.8,-11.2,334.8,-332,4,Inf,Inf,Inf
63,1,0,96.1518,2,-1,-1,2.8,7.8,2.8,6.4,98.8,-96,5.4,134.6,-141.4,-6,334.8,-332,4,Inf,Inf,Inf
64,1,0,97.9177,2,-1,-1,2.8,8,2.8,6.4,100.6,-97.8,4.8,190,-196.6,-14,189.8,-187,-3.4,Inf,Inf,Inf
64,1,0,97.109,2,-1,-1,2.8,8,2.8,6.4,99.8,-97,4.6,131,-138.4,-3.2,329.2,-326.2,9.2,Inf,Inf,Inf
62,1,0,94.3326,2,-1,-1,2.8,8,2.8,6.4,97,-94.2,5,126,-133.2,-3.8,234.6,-231.8,1.6,Inf,Inf,Inf
62,1,0,98.059,2,-1,-1,2.8,8,2.8,6.6,100.8,-98,3.4,120.2,-127.4,-4.2,183.8,-181,-0.2,Inf,Inf,Inf
62,1,0,94.893,2,-1,-1,2.8,8,2.8,6.6,97.6,-94.8,4.2,102.2,-109.6,-0.8,223.6,-220.6,4,Inf,Inf,Inf
63,1,0,95.4679,2,-1,-1,2.8,8,2.8,6.6,98.2,-95.4,3.6,102.2,-109.6,-0.8,165.2,-162.4,-1.4,Inf,Inf,Inf
61,1,0,96.4531,2,-1,-1,2.8,8,2.8,6.8,99.2,-96.4,3.2,269.6,-274.2,-32.2,124.4,-121.6,-4,Inf,Inf,Inf
61,1,0,82.6801,2,-1,-1,3,8,2.8,6.8,100,-97,2.2,136.8,-143.4,-9.2,85.2,-82.4,-6.8,Inf,Inf,Inf
62,1,0,125.8312,2,-1,-1,3,8,2.8,Null,102.6,-99.6,1.8,114.4,-121.6,-3.6,128.6,-125.8,-2.8,Null,Null,Null
62,1,0,166.0059,2,-1,-1,3,8,2.8,Null,97,-94,3,161,-167.2,-13.6,168.8,-166,1.4,Null,Null,Null
62,1,0,153.6005,2,-1,-1,3,8,2.8,Null,98.8,-95.8,2.2,131.8,-138.6,-8.2,156.4,-153.6,-0.4,Null,Null,Null
62,1,0,136.8023,2,-1,-1,3,8,2.8,Null,99.2,-96.2,2,91,-98.6,0.2,139.6,-136.8,-0.8,Null,Null,Null
60,1,0,121.6237,2,-1,-1,3,8,2.8,Null,98.4,-95.4,2.4,100,-107.4,-1,124.4,-121.6,-2.4,Null,Null,Null
61,1,0,152.0047,2,-1,-1,3,8,2.8,Null,94,-91,2.8,85.4,-93,0.8,154.8,-152,1.2,Null,Null,Null
60,1,0,134.0096,2,-1,-1,3,8,2.8,Null,98.6,-95.6,2,115.4,-122.4,-6,136.8,-134,-1.6,Null,Null,Null
61,1,0,96.6101,2,-1,-1,3,8,3,Null,99.6,-96.6,1.4,104,-111.2,-3.4,186.6,-183.2,7.8,Null,Null,Null
61,1,0,95.8134,2,-1,-1,3,8,3,Null,98.8,-95.8,1.6,105.2,-112.2,-4,185.4,-182,7.8,Null,Null,Null
61,1,0,100.4002,2,-1,-1,3,8,3,Null,103.4,-100.4,0.2,131,-137.6,-8.6,146.8,-143.8,1,Null,Null,Null
60,1,0,96.4052,2,-1,-1,3,8.2,3,Null,99.4,-96.4,1,82.8,-90.4,0.8,137.2,-134.2,1,Null,Null,Null
