host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
61,2,0,11913.0064,3,1,0,Null,6.6,6.6,5.8,Null,Null,Null,296.2,289.6,7.2,2408,-2398,-143.4,11906.6,-11896.4,-628.8
61,2,0,479.0167,3,1,1,Null,6.6,6.6,5.8,Null,Null,Null,726,718.6,-23,372.2,378.6,0.6,485,479,4
59,2,0,576.1128,3,1,1,Null,6.6,6.6,5.8,Null,Null,Null,315.6,308.8,2,3860.6,-3849,-211.8,582.2,576,11.4
59,2,0,257.628,3,1,1,Null,6.4,6.6,5.8,Null,Null,Null,328.6,322,2.4,2569.6,-2559.4,-149.4,263.4,257.6,-3.8
59,2,0,758.1193,3,1,1,Null,6.4,6.6,5.8,Null,Null,Null,483.6,476.4,-13,416.4,422.8,2.6,764.2,757.8,22
59,2,0,624.157,3,1,1,6.8,6.4,6.6,5.8,Inf,Inf,Inf,552,544.4,-19,416.4,422.8,2.6,630.2,624,14
60,2,0,678.8179,3,1,1,7,6.2,6.6,5.8,Inf,Inf,Inf,424,416.4,-14.6,364.2,370.8,-0.2,684.8,678.6,17.2
59,2,0,708.871,3,1,1,7,6,6.6,5.8,Inf,Inf,Inf,100.2,94.2,18.4,367.8,374.2,0.6,715,708.6,19.6
59,2,0,675.4452,3,1,1,7,6,6.6,5.8,Inf,Inf,Inf,1891.6,-1885.6,237.4,364.4,370.8,0.6,681.6,675.2,18.2
59,2,0,276.4026,3,1,1,7,5.8,6.6,5.8,Inf,Inf,Inf,283.4,276.4,-1.2,456.4,462.8,4.6,669.6,663.4,15.2
59,2,0,570.9626,3,1,1,7,5.6,6.6,5.8,Inf,Inf,Inf,561.4,-562.8,96.2,226.4,233,-8,688,681.8,16.4
60,2,0,239.6765,3,1,1,7,5.4,6.6,5.8,Inf,Inf,Inf,229,-232.8,57,413.2,419.6,2,373.4,367.6,-1.2
59,2,0,193.7129,3,1,1,7,5.2,6.6,5.8,Inf,Inf,Inf,182.2,-185.8,54.8,3377,-3365.6,-195.6,364.2,358.4,-0.8
59,2,0,318.4016,3,1,1,7,Null,6.6,5.8,Inf,Inf,Inf,Null,Null,Null,2125.6,-2114.2,-157.6,324.4,318.4,1
59,2,0,599.5827,3,1,1,7,6.6,6.6,5.8,Inf,Inf,Inf,Inf,Inf,Inf,539.2,545.2,16.6,605.6,599.4,14.8
59,2,0,299.2096,3,1,1,7,6.6,6.8,5.8,193.8,200.8,5,Inf,Inf,Inf,201.2,208,-8,305,299.2,-2.4
60,2,0,682.288,3,1,1,7,6.6,6.6,5.8,193.4,200.4,5.2,Inf,Inf,Inf,512.4,518.4,14.8,688.6,681.8,25.8
60,2,0,326.2157,3,1,1,7,6.6,6.8,5.8,178.4,185.4,6.8,Inf,Inf,Inf,295.6,302.2,-2,332.2,326.2,3.2
60,2,0,384.4832,3,1,1,7,6.6,6.8,5.8,Inf,Inf,Inf,Inf,Inf,Inf,162.6,169.4,-10.4,390.6,384.4,8
60,2,0,319.6031,3,1,1,7,6.6,6.8,5.8,Inf,Inf,Inf,Inf,Inf,Inf,431.4,438,5,325.6,319.6,1.4
60,2,0,328.4061,3,1,1,7,6.6,6.8,5.8,106.4,-98.8,27.4,Inf,Inf,Inf,390.8,397.2,7.2,334.4,328.4,2
60,2,0,374.0943,3,1,1,7.2,6.6,6.8,5.8,Inf,Inf,Inf,7316.6,-7317.6,295.6,229.2,235.8,-2.8,380.2,374,8.4
60,2,0,829.4544,3,1,1,7.2,6.6,6.8,5.8,107,114.2,13.6,162.6,156,9,143.6,150.4,-9.4,836,828.2,45.6
60,2,0,353.058,3,1,1,7.2,6.6,6.8,5.8,88.2,-80.4,30.4,186.2,179.6,9,4421.2,-4402.8,-333.8,359.2,353,6.4
