host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
81,2,0,Inf,3,0,0,6.4,6.6,6.4,5.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
81,2,0,541.2053,3,0,0,6.4,6.8,6.4,5.6,Inf,Inf,Inf,Inf,Inf,Inf,534.8,541.2,-2.4,Inf,Inf,Inf
81,2,0,Inf,3,0,0,6.4,6.8,6.4,5.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
81,2,0,531.6074,3,0,0,6.4,6.8,6.4,5.4,Inf,Inf,Inf,Inf,Inf,Inf,525.2,531.6,-2.8,Inf,Inf,Inf
81,2,0,6942.0332,3,0,0,6.4,6.8,6.4,5.4,Inf,Inf,Inf,Inf,Inf,Inf,6947.8,-6935.4,-303.4,Inf,Inf,Inf
81,2,0,559.6036,3,0,0,6.4,6.8,6.4,5.4,Inf,Inf,Inf,Inf,Inf,Inf,553.2,559.6,-2,Inf,Inf,Inf
81,2,0,4378.5269,3,0,0,6.4,6.8,6.4,5.4,Inf,Inf,Inf,Inf,Inf,Inf,4384.4,-4373.8,-203.4,Inf,Inf,Inf
81,2,0,630.8008,3,0,0,6.2,7,6.4,5.4,Inf,Inf,Inf,Inf,Inf,Inf,624.4,630.8,-1,Inf,Inf,Inf
81,2,0,555.2029,3,0,0,6.2,7,6.4,5.4,Inf,Inf,Inf,Inf,Inf,Inf,548.8,555.2,-1.8,Inf,Inf,Inf
81,2,0,6061.7506,3,0,1,6.2,7,6.2,Null,Inf,Inf,Inf,Inf,Inf,Inf,6067.4,-6055.4,-277.4,Null,Null,Null
81,2,0,9891.2116,Null,0,1,6.2,Null,6.2,Null,Inf,Inf,Inf,Null,Null,Null,9896.8,-9880.2,-466.6,Null,Null,Null
81,2,0,425.2152,Null,0,1,6.2,Null,6.2,Null,Inf,Inf,Inf,Null,Null,Null,419,425.2,-3.6,Null,Null,Null
81,2,0,475.0083,2,0,1,6.2,3.2,6.2,Null,Inf,Inf,Inf,Inf,Inf,Inf,468.8,475,-2.8,Null,Null,Null
81,2,0,25.7635,2,0,1,6.2,3.2,6.2,Null,Inf,Inf,Inf,22.6,19,17.4,593,599.2,-0.8,Null,Null,Null
82,2,0,399.9874,Null,0,1,6.2,Null,6,Null,Inf,Inf,Inf,Null,Null,Null,405,-398.4,-35.6,Null,Null,Null
82,2,0,6947.428,2,0,1,6.2,3.2,6,Null,Inf,Inf,Inf,Inf,Inf,Inf,6952.8,-6940.8,-303.4,Null,Null,Null
82,2,0,2538.7706,Null,0,1,6.2,Null,6,Null,Inf,Inf,Inf,Null,Null,Null,2544.2,-2535.2,-134.6,Null,Null,Null
