host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
68,2,0,653.8533,3,1,1,7,6.4,7.2,5.6,Inf,Inf,Inf,322.8,316.4,1.8,150.4,157.6,-15.2,659.8,653.6,18.2
67,2,0,579.5284,3,1,1,7,6.4,7.2,5.6,Inf,Inf,Inf,329.2,322.8,1.2,150.4,157.6,-15.2,585.4,579.4,12.2
67,2,0,657.4303,3,1,1,7,6.4,7.2,5.6,Inf,Inf,Inf,232.8,226.4,5.8,172.2,179.4,-13.8,663.4,657.2,17.4
67,2,0,277.0104,3,1,1,7,6.4,7.4,5.6,Inf,Inf,Inf,438.6,432,-5.6,Inf,Inf,Inf,282.6,277,-2.4
68,2,0,777.9482,3,1,1,7,6.4,7.4,5.6,Inf,Inf,Inf,198.4,192,8.8,Inf,Inf,Inf,784,777.4,29.2
68,2,0,313.0052,3,1,1,7,6.4,7.4,5.6,162,169,5.2,242.8,236.4,6.2,Inf,Inf,Inf,318.6,313,-1.8
68,2,0,378.4191,3,1,1,7,6.4,7.4,5.6,176.2,183.2,4.8,207.4,201,8.8,130.6,138,-16.2,384.2,378.4,3.8
68,2,0,337.2085,3,1,1,7,6.4,7.4,5.6,193.4,200.4,4.6,207.4,201,8.8,166.6,174,-13.6,343,337.2,2.4
67,2,0,328.4074,3,1,1,7,6.4,7.4,5.6,2725.4,-2711.6,203.6,244,237.6,5.8,135,142.4,-16.2,334.2,328.4,2.2
68,2,0,328.6088,3,1,1,7,6.4,7.4,5.6,2984.2,-2970,217,211.6,205.2,8.4,141.2,148.6,-14.4,334.4,328.6,2.4
67,2,0,733.6164,3,1,1,7,6.4,Null,5.8,3401.8,-3387.4,235.6,238.4,232,6.2,Null,Null,Null,740,732.8,34.6
67,2,0,378.8279,3,1,1,7,6.4,7.4,5.6,3549.2,-3534.8,240.4,242.8,236.4,6.2,163.6,171,-15.2,384.6,378.8,4.6
67,2,0,398.1017,3,1,1,7,6.4,7.2,5.8,267,273.8,-1.4,308.6,302.2,2,508,-498.8,-65.4,404.2,398,9
67,2,0,643.7662,3,1,1,7,6.4,7.2,5.8,297,303.8,-3.2,211.6,205.2,8.4,785,-774.8,-88.4,650.2,643,31.4
67,2,0,720.612,3,1,1,7,6.4,7.2,5.8,305.4,312.2,-2.8,244,237.6,5.8,785,-774.8,-88.4,727,719.8,34.2
67,2,0,720.612,3,1,1,7,6.4,7.2,5.8,320.8,327.6,-2.8,204.4,198,8.8,434.4,-425.4,-60.8,727,719.8,34.2
67,2,0,889.4961,3,1,1,7,6.4,7.6,5.8,365.2,372,-4.8,269,262.6,5,96.4,104,-18.6,895.8,888.2,48
67,2,0,372.8695,3,1,1,7,6.4,7.6,5.8,413,419.8,-7.4,208.4,202,8.4,Inf,Inf,Inf,379,372.8,7.2
69,2,0,714.5717,3,1,1,7,6.4,7.2,5.8,Inf,Inf,Inf,241,234.6,5.6,339.4,345.8,5.8,720.8,713.8,33.2
69,2,0,714.5717,3,1,1,7,6.4,7.2,5.8,Inf,Inf,Inf,198.4,192,8.8,170.4,177.4,-6.8,720.8,713.8,33.2
69,2,0,373.2584,3,1,1,7,6.4,7.2,5.8,Inf,Inf,Inf,234,227.6,5.8,200.6,207.6,-6.4,379.4,373.2,6.6
69,2,0,373.2584,3,1,1,7,6.4,7.2,5.8,438.4,445,-13,220.4,214,6,203,210,-6.8,379.4,373.2,6.6
69,2,0,692.1871,3,1,1,7,6.4,7.2,5.8,385,391.6,-9,187.6,181.2,8.6,295.8,302.6,0.8,698.6,691.4,33
69,2,0,747.6963,3,1,1,7,6.4,7.2,5.8,425.4,432,-11.6,244.8,238.4,5,193.2,200.2,-7.6,754,746.8,36.6
69,2,0,370.2486,3,1,1,7,6.4,7,5.8,4266.6,-4248,324.6,313.2,306.8,1.2,973,-962.8,-98,376.2,370.2,6
69,2,0,370.2486,3,1,1,7,6.4,7,5.8,267,273.8,-1.4,229.8,223.4,6.4,2048.2,-2035,-178.4,376.2,370.2,6
69,2,0,788.9836,3,1,1,7,6.4,7,5.8,Inf,Inf,Inf,233.4,227,6,785.4,-775.4,-88,795.4,787.8,43.2
69,2,0,396.4807,3,1,1,7,6.4,7,5.8,144.6,151.6,5.8,Inf,Inf,Inf,1966,-1949.8,-208,402.6,396.4,8
68,2,0,398.0973,3,1,1,7,6.4,7,5.8,Inf,Inf,Inf,294.4,288,0.2,2153.8,-2137.6,-216.4,404.2,398,8.8
68,2,0,801.5986,3,1,1,7,6.4,7,5.8,Inf,Inf,Inf,314.2,307.8,-1,177.2,-169,-38.4,808,800.6,40
68,2,0,458.196,3,1,1,7.2,6.4,7,5.8,259.2,266.4,1.8,Inf,Inf,Inf,147,154,-10,464.4,458,13.4
68,2,0,410.8942,3,1,1,7,6.4,7,5.8,648.8,654.6,-30.4,318.2,311.8,-2.2,1366.2,-1355.6,-116.4,417,410.8,8.8
68,2,0,322.203,3,1,1,7,6.4,7,5.8,Inf,Inf,Inf,282.6,276.2,-0.4,206.6,213.2,-3.8,328.2,322.2,1.4
68,2,0,370.4423,3,1,1,7.2,Null,7,5.8,494,500.4,-18.4,Null,Null,Null,300.2,306.8,0.8,376.4,370.4,5.6
68,2,0,370.4423,3,1,1,7.2,6.4,7,5.8,277,284,-2.2,364.2,357.6,-6.8,173,180,-10.4,376.4,370.4,5.6
68,2,0,386.8912,3,1,1,7.2,6.2,7,5.8,283.4,290.4,-3.8,253.8,247.6,3.6,231.2,238,-4.4,393,386.8,8.4
68,2,0,361.6566,3,1,1,7.2,6.2,7,5.8,314.4,321.4,-4.8,307.8,301.6,-0.8,127.2,134.2,-12.6,367.8,361.6,6.4
68,2,0,813.3549,3,1,1,7.2,6.2,7,5.8,288.8,295.8,-3.4,197,190.8,6.2,204.2,211,-5.2,819.6,812.4,39.4
68,2,0,359.0094,3,1,1,7.2,6.2,7,5.6,709,714.8,-37.6,193,186.8,6.2,240.4,247.4,-5.4,364.8,359,2.6
68,2,0,330.2015,3,1,1,7.2,6.2,7,5.6,754.6,760,-43.8,199.8,193.6,5.8,110.4,117.4,-13.6,336,330.2,1
68,2,0,347.2097,3,1,1,7.2,6.2,7,5.6,294.2,301.2,-3.4,268,261.8,2.4,Inf,Inf,Inf,353,347.2,2.6
70,2,0,310.0023,3,1,1,7.2,6.2,7,5.6,531.6,538,-22.4,207.4,201.2,5.6,352.4,359.2,1,315.8,310,1.2
70,2,0,412.3262,3,1,1,7.2,6.2,7,5.6,720.8,726.4,-40.2,258.6,252.4,2.8,1369.8,-1358.6,-122.6,418.2,412.2,10.2
69,2,0,426.8827,3,1,1,7.2,6.2,7,5.6,604.6,610.6,-30.2,278.4,272.2,1.8,422.2,428.6,11.8,432.8,426.8,8.4
69,2,0,221.2611,3,1,1,7.2,6.2,7,5.6,7382,-7350.8,606,181,174.8,8.6,347.2,353.8,5,226.8,221.2,-5.2
70,2,0,756.3759,3,1,1,7.2,6.2,7,5.8,565.6,571.8,-25.6,235.6,229.4,6,2057.4,-2044.4,-171,762.8,754.8,48.8
69,2,0,818.8171,3,1,1,7.2,6.2,7,5.6,547.2,553.6,-22.2,235.6,229.4,6,438.6,444.8,13.8,825,817.8,40.8
