時刻 [sec], ブレーキ踏力 [N], アクセル踏力 [N], 車速 [km/h], 操舵角 [deg], 加速度 (X) [G], 加速度 (Y) [G], 加速度 (Z) [G],
0.000000, 0.061247, 0.358309, 4.216985, 1.592256, 0.000633, 0.000996, 0.054659,
0.100000, 1.988791, 8.400808, 83.451335, 30.433075, -0.003267, -0.001486, 1.069014,
0.200000, 2.005519, 9.831467, 81.956592, 30.135098, 0.002935, 0.002672, 1.075992,
0.300000, 1.988334, 10.413176, 81.962785, 30.239594, 0.004782, 0.003801, 1.089059,
0.400000, 1.983943, 10.224455, 81.963244, 30.252329, 0.000816, 0.003261, 1.079586,
0.500000, 1.921703, 10.584194, 81.977455, 30.849463, -0.001101, 0.012030, 1.044007,
0.600000, 2.003042, 9.307966, 82.226713, 31.525207, 0.001983, 0.000569, 1.063612,
0.700000, 1.953922, 8.820122, 82.268403, 31.592664, 0.003084, 0.009061, 1.050091,
0.800000, 1.926878, 8.207738, 82.222000, 31.615076, 0.008714, 0.001819, 1.059730,
0.900000, 1.965456, 8.157373, 82.532247, 31.563295, 0.008255, -0.011377, 1.090348,
1.000000, 1.955418, 7.876434, 82.547662, 31.474508, 0.003585, -0.009893, 1.091294,
1.100000, 1.956018, 7.525371, 82.540782, 31.449658, 0.000007, -0.011425, 1.084248,
1.200000, 1.974963, 8.231304, 82.553812, 31.671409, 0.000433, -0.017522, 1.070148,
1.300000, 1.903576, 7.780907, 82.560436, 30.675175, -0.002558, -0.010870, 1.064428,
1.400000, 1.864616, 8.671593, 82.665876, 31.872181, 0.000160, -0.012666, 1.050906,
1.500000, 1.868074, 9.456540, 82.631871, 31.249034, 0.003484, -0.010928, 1.074348,
1.600000, 1.940581, 9.634355, 82.577543, 30.044899, -0.000242, -0.010477, 1.081132,
1.700000, 1.984345, 9.108999, 82.562515, 29.415375, -0.002098, -0.004969, 1.086987,
1.800000, 1.963007, 9.267633, 82.562081, 28.948234, 0.001910, -0.004362, 1.089924,
1.900000, 2.003002, 9.355073, 82.551186, 28.364327, 0.003357, 0.005443, 1.097118,
2.000000, 1.941970, 8.085288, 82.551029, 28.145708, -0.002648, 0.016370, 1.073430,
2.100000, 1.909523, 7.594916, 82.607754, 28.811534, -0.003940, 0.019973, 1.049636,
2.200000, 1.843750, 8.596216, 82.628808, 28.947741, 0.001245, 0.015280, 1.067296,
2.300000, 1.948116, 9.087817, 82.582104, 27.687225, -0.001150, 0.020674, 1.088806,
2.400000, 1.981852, 9.349372, 82.595687, 26.410132, -0.003541, 0.024264, 1.097364,
2.500000, 1.880291, 9.493622, 82.625497, 25.184825, -0.007759, 0.031931, 1.093937,
2.600000, 1.909695, 10.962953, 82.592706, 23.402750, -0.008783, 0.035801, 1.087233,
2.700000, 1.957678, 12.935907, 82.569426, 22.957691, -0.010919, 0.042779, 1.079068,
2.800000, 1.940208, 14.990474, 82.568798, 22.448283, -0.011698, 0.049200, 1.072433,
2.900000, 1.924432, 17.236991, 82.834131, 21.780047, -0.011417, 0.058864, 1.073303,
3.000000, 1.951743, 18.634385, 83.162418, 21.554608, -0.008144, 0.059793, 1.067171,
3.100000, 2.023437, 20.168305, 83.161814, 21.716479, -0.008939, 0.061046, 1.089844,
3.200000, 1.953622, 20.323203, 83.171029, 22.056212, -0.004485, 0.059444, 1.078836,
