host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
59,2,0,144.533,2,0,0,6,4,Null,3.6,565,570.8,-8.6,11309.2,-11297.2,608.4,Null,Null,Null,148,144.4,-6.2
58,2,0,167.8934,2,0,0,6,4,Null,3.6,355.4,361.4,3.8,13168.4,-13155.6,672,Null,Null,Null,171.4,167.8,-5.6
58,2,0,10807.7953,2,0,0,6,4,Null,Null,10813.4,-10796.6,491.8,Inf,Inf,Inf,Null,Null,Null,Null,Null,Null
59,2,0,209.2422,2,0,0,6,3.8,Null,3.6,813.6,819.4,-11.8,490.2,486.4,-0.6,Null,Null,Null,212.8,209.2,-4.2
60,2,0,224.8288,2,0,0,5.8,3.8,Null,3.6,8987.6,-8975.2,353.2,214.6,210.8,9.6,Null,Null,Null,228.4,224.8,-3.6
60,2,0,172.6908,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,176.2,172.6,-5.6
59,2,0,261.2012,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,264.8,261.2,0.8
59,2,0,222.226,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,225.8,222.2,-3.4
61,2,0,205.8281,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,209.4,205.8,-3.4
60,2,0,761.0374,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,764.8,760.6,25.8
60,2,0,208.4699,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,212,208.4,-5.4
60,2,0,387.2707,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,391,387.2,7.4
62,2,0,352.8001,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,356.4,352.8,-0.2
62,2,0,Inf,2,0,0,5.8,3.8,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Null,Null,Null
61,2,0,315.4016,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,319,315.4,-1
61,2,0,412.6002,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,416.2,412.6,-0.4
61,2,0,Inf,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
62,2,0,4090.1781,2,0,0,5.8,3.8,Null,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,4086.2,-4086.8,-166.2
63,2,0,405.8537,2,0,0,5.8,3.8,6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,409.2,405.8,-6.6
62,2,0,Inf,2,0,0,5.8,3.8,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Null,Null,Null
62,2,0,Inf,2,0,0,5.8,3.8,6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,2,0,Inf,2,0,0,5.8,3.8,6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,2,0,Inf,2,0,0,5.8,3.8,5.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
63,2,0,Inf,2,0,0,5.8,3.8,5.8,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
63,2,0,Inf,2,0,0,5.8,3.8,5.8,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
62,2,0,Inf,2,0,0,5.6,3.8,5.8,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,2,0,0,5.8,3.8,5.8,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
64,2,0,356.2575,2,0,0,5.8,3.8,5.8,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,359.6,356.2,-6.4
64,2,0,30346.3344,2,0,0,5.6,3.8,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,30342.8,-30344,-376.4
64,2,0,Inf,2,0,0,5.8,3.8,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,2,0,Inf,2,0,0,5.8,3.8,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,452.6299,2,0,0,5.6,4,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,456,452.6,-5.2
66,2,0,Inf,2,0,0,5.8,3.8,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,2,0,0,5.6,4,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,2,0,0,5.8,3.8,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,2,0,Inf,2,0,0,5.6,4,5.6,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
67,2,0,416.6404,2,0,0,5.8,4,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,420,416.6,-5.8
66,2,0,Inf,2,0,0,5.6,4,5.6,3.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,2,0,Inf,2,0,0,5.6,4,5.6,3.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,2,0,Inf,2,0,0,5.6,4,5.6,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null
