host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
66,3,0,4047.002,4,0,0,9.6,7,6.2,6.2,538.6,-526,69.2,4040,-4046.4,-69.8,Inf,Inf,Inf,Inf,Inf,Inf
66,3,0,1412.8204,4,0,0,9.8,6.8,6.2,6.2,3513.4,-3488.6,338.2,1406,-1412.8,-7.6,Inf,Inf,Inf,Inf,Inf,Inf
66,3,0,1216.8016,4,0,0,10,7,6.4,6.2,635.4,-622.4,76,1209.8,-1216.8,-2,Inf,Inf,Inf,Inf,Inf,Inf
66,3,0,407.3513,4,0,0,10.2,7,6.4,6.2,415.8,-403.4,56.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,3,0,590.1573,4,0,0,10.2,7,6.6,6.2,598.8,-585.6,73.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
66,3,0,264.0379,4,0,0,10.4,7,6.6,6.2,272.2,-260,46,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,3,0,1031.2199,4,0,0,10.6,7,6.8,6.2,344.2,-331.8,50.4,1024.2,-1031.2,6.4,Inf,Inf,Inf,Inf,Inf,Inf
64,3,0,371.9382,4,0,0,10.8,7,7,6.2,381,-368.2,52.6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
65,3,0,712.6465,4,0,0,11,7,7,6.2,722.2,-709,72,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
64,3,0,1134.0368,4,0,0,11.2,7,7.2,6.2,603.2,-589.8,67.4,Inf,Inf,Inf,1125.2,1130,-95.6,Inf,Inf,Inf
64,3,0,8875.407,4,0,0,11.4,7,7.4,6.2,350.8,-338,47.4,8882,8872.6,223.2,1257.4,1262.8,-94.2,Inf,Inf,Inf
64,3,0,64616.0426,4,0,0,11.4,7,7.6,6.2,348,-335.2,47.4,64622.8,64596.6,1585,5432.8,5427.6,-393.2,Inf,Inf,Inf
65,3,0,21500.8763,4,0,0,11.6,7,7.8,6.2,302.4,-289.4,45.2,21507.6,21496.6,428.8,1593.8,1597.8,-129.6,Inf,Inf,Inf
65,3,0,2718.8523,4,0,0,11.8,7,7.8,6.2,660.4,-647,62.8,Inf,Inf,Inf,2709.8,2712.4,-187.2,Inf,Inf,Inf
64,3,0,686.6308,4,0,0,12,7,8,6.2,305.6,-292.4,41.8,Inf,Inf,Inf,695.2,-686.4,17.8,Inf,Inf,Inf
65,3,0,560.7284,4,0,0,12.2,7,8.2,6.2,693,-679.2,64,Inf,Inf,Inf,569.4,-560.6,12,Inf,Inf,Inf
65,3,0,501.0621,4,0,0,12.2,7,8.4,6.2,305.8,-292.4,42.2,Inf,Inf,Inf,490.8,497.6,-58.8,Inf,Inf,Inf
65,3,0,2801.2488,4,0,0,12.4,7,8.6,6.2,708.4,-694.8,56.8,Inf,Inf,Inf,2791.4,2792.8,-217.4,Inf,Inf,Inf
65,3,0,4205.8069,4,0,0,12.4,7,8.8,6.2,325.4,-311.8,43.2,Inf,Inf,Inf,4195.6,4191.6,-345.4,Inf,Inf,Inf
65,3,0,834.606,4,0,0,12.6,7,8.8,6.2,308.6,-295.2,39,Inf,Inf,Inf,844,-834,31.8,Inf,Inf,Inf
65,3,0,5598.331,4,0,0,12.8,7,9,6.2,691.4,-677.4,56.4,Inf,Inf,Inf,5588.2,5583.4,-408.6,Inf,Inf,Inf
65,3,0,2104.4502,4,0,0,12.8,7,9.2,6.2,248.2,-234.4,38.6,Inf,Inf,Inf,2093.8,2096,-188.4,Inf,Inf,Inf
65,3,0,2093.2123,5,0,0,13,7,9.2,6.2,762,-747.8,59.2,Inf,Inf,Inf,2082.6,2085.8,-176,Inf,Inf,Inf
65,3,0,1058.5579,5,0,0,13,7,9.4,6.2,392,-378.2,42.4,Inf,Inf,Inf,1068.8,-1057.2,53.6,Inf,Inf,Inf
65,4,0,665.4111,5,0,0,13.2,7,9.6,6.2,368,-354,41.8,Inf,Inf,Inf,654,660.8,-78.2,Inf,Inf,Inf
65,4,0,5348.9921,5,0,0,13.2,7,9.6,6.2,324.4,-310.4,40.2,Inf,Inf,Inf,5338.2,5334,-400.2,Inf,Inf,Inf
65,4,0,882.0626,5,0,0,13.4,7,9.8,6.2,557.6,-543.6,45.8,Inf,Inf,Inf,892.6,-881.2,39,Inf,Inf,Inf
65,4,0,928.1781,5,0,0,13.4,6.8,9.8,6.2,543,-529,45.6,Inf,Inf,Inf,938.8,-927.2,42.6,Inf,Inf,Inf
65,4,0,2062.3754,5,0,0,13.6,7,10,6.2,Inf,Inf,Inf,Inf,Inf,Inf,2050.8,2053.4,-192.2,Inf,Inf,Inf
64,4,0,1031.4887,5,0,0,13.6,7,10.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,1042.6,-1029.8,59,Inf,Inf,Inf
64,4,0,2201.0143,5,0,0,13.6,7,10.4,6.2,Inf,Inf,Inf,Inf,Inf,Inf,2189,2190.8,-211.8,Inf,Inf,Inf
64,4,0,1189.2619,5,0,0,13.6,6.8,10.4,6.2,Inf,Inf,Inf,Inf,Inf,Inf,1200.6,-1187.2,70,Inf,Inf,Inf
64,4,0,2581.7175,5,0,0,13.8,7,10.6,6.2,Inf,Inf,Inf,Inf,Inf,Inf,2569.4,2571.2,-232.8,Inf,Inf,Inf
64,4,0,4932.1235,5,0,0,13.8,6.8,10.8,6.2,Inf,Inf,Inf,Inf,Inf,Inf,4919.6,4910.4,-462.4,Inf,Inf,Inf
66,4,0,3510.4053,5,0,0,13.8,7,10.8,6.2,Inf,Inf,Inf,Inf,Inf,Inf,3498,3497.2,-304.2,Inf,Inf,Inf
