"host_v.km.h.","host_.L","LC","host_rad.m.","LN","FRT","BRT","D_fr.m.","D_fl.m.","D_br.m.","D_bl.m.","Rad_fr.m.","CC_frx.m.","CC_fry.m.","Rad_fl.m.","CC_flx.m.","CC_fly.m.","Rad_br.m.","CC_brx.m.","CC_bry.m.","Rad_bl.m.","CC_blx.m.","CC_bly.m."
"35.0","3",0,"237.5424","6","0","0","12.6","12.4","Null","Null","583.2","-569.0","-28.8","253.2","231.6","-52.8","Null","Null","Null","Null","Null","Null"
"35.0","3",0,"729.5924","6","0","0","12.6","12.2","Null","Null","11087.0","11032.0","1239.4","745.4","700.2","-205.0","Null","Null","Null","Null","Null","Null"
"34.0","3",0,"531.8727","6","0","0","12.4","12.0","Null","Null","703.4","-688.0","-49.8","547.4","512.4","-142.6","Null","Null","Null","Null","Null","Null"
"36.0","3",0,"660.6741","6","0","0","12.2","11.8","Null","Null","686.6","-671.2","-51.4","675.8","636.8","-176.0","Null","Null","Null","Null","Null","Null"
"36.0","3",0,"902.461","5","0","0","12.0","11.6","Null","Null","528.8","-514.4","-36.4","917.4","867.2","-249.8","Null","Null","Null","Null","Null","Null"
"35.0","3",0,"34.6508","5","0","0","12.0","11.4","Null","6.8","544.0","-528.6","-47.8","884.6","837.2","-236.0","Null","Null","Null","19.0","-24.8","-24.2"
"36.0","3",0,"227.5347","5","0","0","11.6","11.2","Null","Null","743.6","-727.2","-70.4","241.4","223.0","-45.2","Null","Null","Null","Null","Null","Null"
"37.0","3",0,"580.1478","5","0","0","11.4","11.0","Null","Null","495.0","-480.6","-40.8","594.2","562.4","-142.4","Null","Null","Null","Null","Null","Null"
"37.0","3",0,"235.3409","5","0","0","11.2","10.8","Null","Null","615.0","-599.8","-56.8","248.8","230.6","-47.0","Null","Null","Null","Null","Null","Null"
"36.0","2",0,"914.3725","4","0","0","8.4","10.6","Null","Null","900.2","896.4","180.4","454.6","430.4","-97.0","Null","Null","Null","Null","Null","Null"
"38.0","3",0,"511.9343","5","0","0","10.8","10.4","Null","Null","417.8","-403.8","-38.8","525.0","499.8","-110.8","Null","Null","Null","Null","Null","Null"
"39.0","3",0,"138.6802","5","0","0","10.6","10.2","Null","Null","605.0","-588.6","-71.2","150.8","137.4","-18.8","Null","Null","Null","Null","Null","Null"
"38.0","3",0,"949.6104","5","0","0","10.4","10.2","Null","Null","1263.2","-1238.0","-180.6","962.4","923.2","-222.4","Null","Null","Null","Null","Null","Null"
"37.0","3",0,"2166.7509","5","0","0","10.2","10.0","Null","Null","483.0","-467.8","-56.8","2153.8","-2094.2","556.0","Null","Null","Null","Null","Null","Null"
"38.0","3",0,"243.5896","4","0","0","10.0","9.8","Null","Null","483.8","-468.6","-59.0","255.6","239.8","-42.8","Null","Null","Null","Null","Null","Null"
"39.0","3",0,"491.2444","4","0","0","9.8","9.6","Null","Null","567.8","-550.8","-77.8","503.2","481.0","-99.8","Null","Null","Null","Null","Null","Null"
"39.0","3",0,"273.8047","4","0","0","9.6","9.4","Null","Null","458.4","-443.0","-60.8","285.2","269.6","-47.8","Null","Null","Null","Null","Null","Null"
"38.0","3",0,"434.1652","4","0","0","9.4","9.2","Null","Null","494.8","-479.2","-66.6","445.6","425.4","-86.8","Null","Null","Null","Null","Null","Null"
