host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
39,2,0,1325.9166,2,0,0,7.8,3.4,Null,3,307.6,-299.6,25.4,1329,1324.4,63.4,Null,Null,Null,Inf,Inf,Inf
38,2,0,32.9248,2,0,0,8.2,3.4,2.4,3,Inf,Inf,Inf,Inf,Inf,Inf,28.4,-26,-20.2,Inf,Inf,Inf
38,2,0,Inf,3,0,0,8.6,3.4,Null,3,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
38,2,0,Inf,3,0,0,8.6,3.4,Null,3,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
38,2,0,21.9672,3,0,0,8.6,3.4,4.2,3,Inf,Inf,Inf,Inf,Inf,Inf,22.6,-18.4,-12,Inf,Inf,Inf
38,2,0,Inf,3,0,0,8.6,3.4,Null,3,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
39,2,0,Inf,3,0,0,8.6,3.4,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Null,Null,Null
38,2,0,102.4322,3,0,0,8.8,3.4,4.8,3,Inf,Inf,Inf,Inf,Inf,Inf,3212.4,3161.4,-607.2,99,-102,-9.4
36,2,0,634.3839,3,0,0,8.8,3.2,5,3,Inf,Inf,Inf,Inf,Inf,Inf,640.8,-627.2,95.2,Inf,Inf,Inf
37,2,0,665.3676,3,0,0,8.8,3.2,5,3,Inf,Inf,Inf,Inf,Inf,Inf,671.8,-658.2,97.4,Inf,Inf,Inf
37,2,0,1750.4,3,0,0,8.8,3.2,5.4,3,Inf,Inf,Inf,1753.6,1750.4,-0.4,3758,-3689.8,674.4,Inf,Inf,Inf
36,2,0,52025.7612,3,0,0,8.8,3.2,5.4,3,168.2,-159.2,19.6,52022.4,-52023,536,1865,1834.4,-376.4,Inf,Inf,Inf
36,2,0,1013.4096,3,0,0,8.8,3.2,5.6,3,17.4,-8,16.2,1016.6,1013.4,4.4,807.4,795.8,-177.4,Inf,Inf,Inf
37,2,0,100.1906,2,0,0,6.8,3.2,5.8,3,Inf,Inf,Inf,Inf,Inf,Inf,91.4,94.6,-33,Inf,Inf,Inf
36,2,0,12663.2286,2,0,0,Null,3.2,5.8,3,Null,Null,Null,12659.8,-12662.2,161.4,Inf,Inf,Inf,Inf,Inf,Inf
35,2,0,4836.2291,2,0,0,Null,3.2,6,3,Null,Null,Null,4832.8,-4834.4,133,609.6,604.6,-127.2,Inf,Inf,Inf
35,3,0,3082.4397,3,0,0,9.6,3.2,6,3,Inf,Inf,Inf,3079,-3081,94.2,618.6,612.2,-135.6,Inf,Inf,Inf
35,1,0,22326.0957,1,0,0,1.6,3,6.4,3,Inf,Inf,Inf,22323,-22322.8,383.6,677.4,667.4,-161.2,Inf,Inf,Inf
36,3,0,309.1429,3,0,0,9.6,3,6.6,3,Inf,Inf,Inf,312,309,9.4,3001.6,2942.2,-638.6,Inf,Inf,Inf
36,3,0,588.6855,3,0,0,9.6,3,6.6,3,Inf,Inf,Inf,585.4,-588,28.4,1626,1600,-336.8,Inf,Inf,Inf
33,2,0,573.2101,2,0,0,7.2,3,6.8,3,Inf,Inf,Inf,576.2,573.2,-3.4,Inf,Inf,Inf,Inf,Inf,Inf
34,1,0,229.0574,1,0,0,1.8,3,6.8,3,Inf,Inf,Inf,225.6,-228.2,19.8,609.8,605.6,-128.6,Inf,Inf,Inf
34,1,0,637.3418,1,0,0,1.8,3,7,2.8,Inf,Inf,Inf,Inf,Inf,Inf,627.6,621,-143.4,Inf,Inf,Inf
34,1,0,7766.6333,1,0,0,1.8,2.8,7.2,2.8,Inf,Inf,Inf,7763.6,-7764.2,194.4,403.8,401.6,-100.8,Inf,Inf,Inf
32,2,0,24.8338,2,0,0,8.4,2.8,7.2,2.8,5.4,12.6,21.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
33,2,0,215.8209,2,0,0,7,2.8,7.4,2.8,Inf,Inf,Inf,218.6,215.8,3,163.6,166.2,-54.6,Inf,Inf,Inf
33,1,0,619.8989,1,0,0,1.8,2.8,7.6,2.8,Inf,Inf,Inf,Inf,Inf,Inf,609.6,606.2,-129.6,Inf,Inf,Inf
33,1,0,133.5391,1,0,0,2,2.8,7.8,2.8,Inf,Inf,Inf,Inf,Inf,Inf,121.6,125.8,-44.8,Inf,Inf,Inf
33,1,0,Inf,1,0,0,1.8,2.8,Null,2.8,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
34,1,0,Inf,1,0,0,1.8,2.8,Null,2.8,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
31,1,0,Inf,Null,0,0,1.8,Null,Null,2.6,Inf,Inf,Inf,Null,Null,Null,Null,Null,Null,Inf,Inf,Inf
32,Null,0,56.7665,Null,0,0,Null,2.6,Null,2.6,Null,Null,Null,58.8,56.2,8,Null,Null,Null,Inf,Inf,Inf
32,1,0,43.7017,1,0,0,2,2.6,8.6,2.6,Inf,Inf,Inf,45.6,43,7.8,Inf,Inf,Inf,Inf,Inf,Inf
31,Null,0,Inf,Null,0,0,Null,2.4,Null,2.6,Null,Null,Null,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
31,1,0,1067.4909,1,0,0,2.2,2.6,Null,2.6,1064.8,1066.8,38.4,54.4,51.8,6.8,Null,Null,Null,Inf,Inf,Inf
31,1,0,169.3829,1,0,0,1.8,2.6,8.6,2.6,Inf,Inf,Inf,166.2,-168,21.6,32.4,-23.8,-15.8,Inf,Inf,Inf
32,1,0,2350.0531,1,0,0,1.6,2.6,8.6,2.6,2351.4,-2349.4,55.4,147,-148.8,20.6,Inf,Inf,Inf,Inf,Inf,Inf
31,1,0,741.7263,1,0,0,1.8,2.4,8.8,2.6,Inf,Inf,Inf,739.2,-741.4,22,Inf,Inf,Inf,Inf,Inf,Inf
31,2,0,Inf,2,0,0,Null,2.2,8.8,2.4,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
32,1,0,147.449,1,0,0,2.2,2.6,8.8,2.4,144.8,146.6,15.8,530.2,-532.6,20,Inf,Inf,Inf,Inf,Inf,Inf
31,1,0,Inf,1,0,0,1.8,2.6,8.8,2.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
32,1,0,255.1954,1,0,0,1.6,2.4,8.8,2.4,256.6,-254.8,14.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
32,1,0,237.2018,1,0,0,1.6,2.6,Null,2.4,238.6,-236.8,13.8,123665.2,-123662.4,1171.4,Null,Null,Null,Inf,Inf,Inf
31,1,0,Inf,1,0,0,1.6,2.4,Null,2.4,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
32,1,0,50.064,1,0,0,1.6,2.4,Null,2.4,48,49.6,6.8,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
